Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
55,No,Travel_Rarely,Sales,1,2,1,Male,3,Sales Executive,Married,10239,3,No,3,4,1,24,4,3,1,0,1,0
28,No,Travel_Frequently,Research & Development,2,3,4,Male,2,Laboratory Technician,Married,3867,1,Yes,3,2,1,2,2,3,2,2,2,2
37,No,Non-Travel,Sales,19,2,1,Male,3,Sales Executive,Single,7642,1,Yes,3,4,0,10,2,3,10,0,0,9
33,No,Travel_Rarely,Sales,8,4,1,Male,3,Sales Executive,Married,6392,2,No,3,4,1,8,6,1,2,2,2,2
33,Yes,Travel_Rarely,Research & Development,14,3,3,Male,3,Laboratory Technician,Married,2436,5,Yes,3,3,1,8,2,1,5,4,0,4
50,No,Non-Travel,Sales,1,3,4,Female,3,Sales Executive,Married,6347,0,No,3,1,1,19,3,3,18,7,0,13
34,No,Travel_Rarely,Sales,8,2,2,Male,4,Sales Executive,Married,6799,1,No,4,3,2,10,5,3,10,8,4,8
59,No,Travel_Rarely,Research & Development,2,3,3,Female,2,Manufacturing Director,Single,13726,3,Yes,3,1,0,30,4,3,5,3,4,3
43,No,Travel_Rarely,Research & Development,6,3,1,Female,2,Manager,Married,19392,7,No,3,4,0,21,2,3,16,12,6,14
40,No,Travel_Frequently,Research & Development,26,2,3,Female,2,Research Scientist,Married,4422,3,Yes,3,4,1,16,3,1,1,1,0,0
23,Yes,Travel_Rarely,Research & Development,8,1,4,Male,2,Laboratory Technician,Single,3989,1,Yes,3,1,0,5,2,3,5,4,1,2
32,No,Travel_Frequently,Research & Development,2,2,4,Female,3,Research Scientist,Single,4998,4,Yes,3,4,0,10,2,3,8,7,0,7
49,No,Travel_Rarely,Research & Development,3,2,3,Female,2,Laboratory Technician,Married,4789,4,No,4,1,1,10,3,3,3,2,1,2
55,No,Travel_Rarely,Research & Development,20,2,2,Male,3,Laboratory Technician,Married,5415,3,Yes,3,4,1,12,4,3,10,7,0,8
31,Yes,Travel_Frequently,Sales,26,4,1,Male,3,Sales Executive,Married,5617,1,Yes,3,3,0,10,4,3,10,7,0,8
53,No,Travel_Frequently,Sales,2,3,3,Female,2,Sales Executive,Married,7525,2,No,3,1,1,30,2,3,15,7,6,12
46,No,Non-Travel,Sales,26,2,2,Male,2,Sales Executive,Single,7991,8,No,3,3,0,6,3,3,2,2,2,2
52,No,Travel_Frequently,Research & Development,28,2,4,Female,4,Manufacturing Director,Married,13247,2,Yes,3,2,1,24,3,2,5,3,0,2
34,No,Travel_Frequently,Research & Development,1,4,4,Male,3,Research Scientist,Divorced,2996,5,No,3,3,2,10,2,3,4,3,1,3
47,No,Travel_Rarely,Sales,2,2,3,Female,3,Sales Executive,Married,4537,0,Yes,4,1,1,8,2,3,7,6,7,7
32,No,Travel_Rarely,Sales,8,2,3,Female,2,Sales Executive,Married,5228,1,Yes,3,4,0,13,2,3,13,12,11,9
21,Yes,Travel_Frequently,Sales,1,1,1,Female,2,Sales Representative,Single,2174,1,Yes,3,3,0,3,3,3,3,2,1,2
42,No,Travel_Rarely,Research & Development,29,3,2,Male,1,Laboratory Technician,Single,4272,4,No,3,1,0,16,3,3,1,0,0,0
22,No,Travel_Rarely,Research & Development,5,3,4,Male,4,Research Scientist,Divorced,2328,1,Yes,3,1,1,4,2,2,4,2,2,2
59,No,Travel_Rarely,Sales,1,2,2,Male,3,Manager,Married,11904,3,Yes,3,3,1,14,1,1,6,4,0,4
35,No,Travel_Rarely,Research & Development,16,2,4,Female,2,Manufacturing Director,Married,4788,0,Yes,3,4,0,4,2,3,3,2,0,2
47,No,Travel_Rarely,Sales,2,4,4,Female,2,Sales Representative,Single,3294,1,Yes,3,1,0,3,3,2,3,2,1,2
27,No,Travel_Rarely,Research & Development,8,3,3,Female,3,Research Scientist,Single,3445,1,No,3,3,0,6,5,2,6,2,1,4
20,Yes,Travel_Rarely,Sales,2,3,3,Female,2,Sales Representative,Single,2044,1,No,3,4,0,2,3,2,2,2,0,2
31,No,Travel_Rarely,Research & Development,2,1,4,Female,1,Laboratory Technician,Divorced,1129,1,Yes,3,3,3,1,4,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,16,4,1,Male,2,Laboratory Technician,Single,5094,6,No,3,4,0,10,6,3,1,0,0,0
36,No,Travel_Rarely,Research & Development,1,3,3,Female,3,Manufacturing Director,Married,5228,0,No,3,1,1,10,2,3,9,7,0,5
29,No,Travel_Rarely,Sales,10,1,4,Female,2,Sales Executive,Divorced,8268,1,Yes,3,1,2,7,2,3,7,7,1,7
31,No,Travel_Rarely,Research & Development,5,4,3,Male,3,Research Scientist,Married,4821,0,Yes,3,3,1,6,4,3,5,2,0,3
45,No,Travel_Rarely,Research & Development,6,4,4,Male,3,Research Director,Married,13245,4,Yes,3,2,0,17,3,4,0,0,0,0
32,No,Travel_Rarely,Sales,13,4,2,Male,3,Sales Executive,Divorced,4403,2,No,3,3,1,8,3,2,5,2,0,3
46,Yes,Travel_Rarely,Sales,9,2,3,Male,2,Sales Executive,Single,9619,1,No,3,4,0,9,3,3,9,8,4,7
34,No,Travel_Frequently,Research & Development,22,4,3,Male,2,Research Scientist,Married,5747,1,Yes,3,2,0,16,3,3,15,10,6,11
58,Yes,Travel_Rarely,Research & Development,23,4,4,Female,3,Healthcare Representative,Married,10312,1,No,3,4,1,40,3,2,40,10,15,6
44,Yes,Travel_Rarely,Human Resources,1,2,2,Male,2,Human Resources,Married,10482,9,No,3,4,1,24,1,3,20,6,3,6
27,No,Non-Travel,Research & Development,9,3,4,Male,3,Research Scientist,Divorced,2024,6,No,3,4,1,6,1,1,2,2,2,2
43,No,Travel_Frequently,Research & Development,9,5,4,Male,3,Laboratory Technician,Divorced,5679,3,Yes,3,2,1,10,3,3,8,7,4,7
34,No,Travel_Rarely,Research & Development,1,4,2,Male,3,Research Scientist,Married,5484,9,No,3,2,1,9,3,2,2,2,2,1
22,No,Travel_Rarely,Research & Development,6,1,1,Male,3,Research Scientist,Married,2773,0,No,4,4,0,3,3,3,2,2,2,2
32,No,Non-Travel,Research & Development,1,4,4,Male,3,Research Scientist,Married,4087,4,No,3,2,1,9,3,2,6,5,1,2
34,Yes,Travel_Rarely,Research & Development,6,1,2,Male,3,Research Scientist,Single,2960,2,No,3,3,0,8,2,3,4,2,1,3
30,No,Travel_Rarely,Human Resources,9,3,3,Male,3,Human Resources,Married,6347,0,Yes,3,4,0,12,2,1,11,9,4,7
44,No,Travel_Rarely,Research & Development,20,3,4,Male,3,Research Scientist,Single,3420,1,No,3,3,0,6,3,2,5,2,1,3
35,Yes,Travel_Rarely,Sales,15,2,1,Male,1,Sales Executive,Divorced,5440,6,Yes,3,4,2,7,2,2,2,2,2,2
32,Yes,Travel_Rarely,Research & Development,9,3,1,Female,3,Laboratory Technician,Single,4200,7,No,4,1,0,10,2,4,5,4,0,4
56,No,Travel_Rarely,Research & Development,4,4,4,Female,3,Manager,Divorced,19943,4,No,3,4,1,28,2,3,5,2,4,2
40,No,Travel_Rarely,Research & Development,6,3,2,Female,3,Manufacturing Director,Single,13237,7,No,3,3,0,22,3,3,20,6,5,13
32,No,Travel_Rarely,Sales,1,4,2,Male,2,Sales Representative,Married,2269,0,No,3,2,1,3,2,3,2,2,2,2
45,No,Non-Travel,Research & Development,4,2,3,Male,3,Laboratory Technician,Married,4447,1,No,3,2,0,9,5,2,9,7,0,8
36,No,Travel_Rarely,Research & Development,7,4,2,Male,3,Research Scientist,Single,4678,2,No,3,3,0,8,6,3,6,2,0,1
56,No,Travel_Rarely,Human Resources,8,4,4,Male,3,Manager,Single,19717,6,No,3,1,0,36,4,3,7,3,7,7
24,No,Travel_Frequently,Human Resources,10,3,1,Male,3,Human Resources,Married,2145,0,No,3,4,1,3,2,3,2,2,2,1
44,No,Travel_Rarely,Research & Development,4,3,4,Male,3,Healthcare Representative,Single,5933,9,No,3,4,0,10,2,2,5,2,2,3
27,No,Travel_Frequently,Research & Development,1,1,3,Male,2,Manufacturing Director,Married,4298,5,No,3,3,1,6,1,3,2,2,2,0
28,Yes,Non-Travel,Research & Development,24,2,2,Male,2,Healthcare Representative,Single,8722,1,No,3,1,0,10,2,2,10,7,1,9
40,No,Travel_Rarely,Research & Development,8,2,2,Female,3,Manufacturing Director,Married,6516,2,Yes,3,2,1,18,3,3,1,0,0,0
41,No,Travel_Rarely,Research & Development,6,3,4,Male,2,Manufacturing Director,Single,6032,6,Yes,3,4,0,8,3,3,5,4,1,2
22,Yes,Travel_Rarely,Research & Development,7,1,4,Male,3,Research Scientist,Single,2472,1,Yes,4,1,0,1,2,3,1,0,0,0
44,No,Travel_Rarely,Research & Development,2,1,1,Female,4,Research Scientist,Married,2011,1,No,3,4,1,10,5,3,10,5,7,7
21,No,Travel_Rarely,Research & Development,15,2,3,Male,3,Research Scientist,Single,1232,1,No,3,4,0,0,6,3,0,0,0,0
27,No,Non-Travel,Research & Development,8,5,1,Male,1,Laboratory Technician,Married,4621,1,No,3,4,3,3,4,3,3,2,1,2
42,No,Travel_Rarely,Research & Development,4,2,3,Male,3,Manager,Married,19232,1,No,3,4,0,22,3,3,22,17,11,15
29,Yes,Travel_Frequently,Research & Development,14,1,3,Female,3,Healthcare Representative,Single,7553,0,Yes,3,1,0,9,1,3,8,7,7,7
25,No,Travel_Rarely,Sales,4,2,2,Female,2,Sales Executive,Single,4487,1,Yes,3,2,0,5,3,3,5,4,1,3
29,Yes,Travel_Rarely,Sales,23,1,4,Female,2,Sales Executive,Married,7336,1,No,3,1,1,11,3,1,11,8,3,10
50,Yes,Travel_Frequently,Sales,1,4,4,Male,3,Sales Executive,Single,4728,3,Yes,3,4,0,5,4,3,0,0,0,0
33,No,Travel_Rarely,Human Resources,3,2,4,Male,3,Human Resources,Divorced,2277,3,Yes,3,3,1,7,4,4,4,3,0,3
22,No,Travel_Rarely,Research & Development,15,3,2,Female,3,Laboratory Technician,Single,2871,1,No,3,3,0,1,5,3,0,0,0,0
53,No,Travel_Rarely,Sales,2,2,3,Male,3,Manager,Divorced,14852,6,No,3,3,1,22,3,4,17,13,15,2
33,No,Travel_Rarely,Research & Development,8,5,4,Male,3,Healthcare Representative,Single,6388,2,Yes,3,1,0,14,6,3,0,0,0,0
50,No,Travel_Rarely,Research & Development,24,3,4,Male,3,Manufacturing Director,Married,13973,3,Yes,3,4,1,22,2,3,12,11,1,5
29,Yes,Travel_Rarely,Research & Development,25,5,3,Female,2,Research Scientist,Married,2546,5,No,3,2,0,6,2,4,2,2,1,1
36,No,Non-Travel,Sales,8,4,1,Male,3,Sales Executive,Divorced,5079,4,No,3,4,2,12,3,3,7,7,0,7
40,No,Travel_Frequently,Research & Development,26,3,2,Female,3,Research Scientist,Divorced,5605,1,No,3,1,1,20,2,3,20,7,2,13
20,No,Travel_Rarely,Sales,2,3,3,Female,3,Sales Representative,Single,2783,1,No,3,1,0,2,3,3,2,2,2,2
42,No,Travel_Frequently,Research & Development,2,3,4,Male,3,Healthcare Representative,Married,10124,2,Yes,3,3,1,24,3,1,20,8,13,9
52,No,Travel_Rarely,Research & Development,11,4,4,Female,3,Laboratory Technician,Married,3149,8,No,4,2,1,9,3,3,5,2,1,4
29,No,Travel_Rarely,Research & Development,21,4,2,Female,4,Manufacturing Director,Divorced,9980,1,No,3,3,1,10,1,3,10,9,8,8
22,Yes,Travel_Rarely,Research & Development,3,1,2,Female,3,Manufacturing Director,Married,4171,0,Yes,3,1,1,4,3,4,3,2,0,2
36,Yes,Travel_Rarely,Sales,3,1,3,Male,2,Sales Executive,Married,10325,1,Yes,3,1,1,16,6,3,16,7,3,7
48,No,Travel_Rarely,Research & Development,4,3,4,Male,3,Manufacturing Director,Single,7898,1,No,3,3,0,11,2,3,10,9,0,8
38,No,Travel_Frequently,Human Resources,1,4,4,Male,3,Human Resources,Married,2991,0,Yes,3,2,1,7,2,3,6,2,1,2
42,No,Travel_Rarely,Sales,12,4,2,Male,3,Sales Executive,Divorced,5087,3,Yes,3,3,2,14,4,3,0,0,0,0
42,No,Travel_Rarely,Research & Development,24,3,4,Male,3,Manufacturing Director,Married,7406,1,Yes,4,4,1,10,5,2,10,9,5,8
56,No,Travel_Frequently,Sales,6,3,3,Female,4,Sales Executive,Married,13212,9,No,3,4,3,36,0,2,7,7,7,7
34,No,Travel_Rarely,Sales,2,3,4,Male,3,Sales Executive,Single,6274,1,No,4,3,0,6,5,3,6,5,1,4
27,No,Travel_Frequently,Sales,20,3,4,Female,3,Sales Executive,Single,9981,1,No,3,4,0,7,2,3,7,7,0,7
41,No,Travel_Rarely,Research & Development,9,4,3,Male,3,Laboratory Technician,Divorced,2289,1,No,4,2,2,5,2,3,5,3,0,4
31,Yes,Travel_Rarely,Sales,6,4,2,Male,1,Sales Executive,Married,6172,4,Yes,3,2,0,12,3,2,7,7,7,7
30,No,Travel_Rarely,Research & Development,1,1,4,Male,2,Laboratory Technician,Married,5126,1,Yes,3,3,2,10,1,2,10,8,3,0
47,No,Travel_Rarely,Research & Development,9,4,2,Female,3,Laboratory Technician,Single,2105,4,No,3,3,0,7,2,3,2,2,2,0
40,No,Travel_Frequently,Research & Development,9,4,4,Male,3,Research Scientist,Divorced,3617,8,Yes,3,4,1,3,2,3,1,1,0,0
35,No,Travel_Rarely,Sales,1,3,2,Male,3,Sales Executive,Married,4717,9,No,3,3,0,15,2,3,11,9,6,9
24,No,Travel_Rarely,Research & Development,23,3,2,Male,4,Research Scientist,Married,2725,1,Yes,3,2,2,6,3,3,6,5,1,4
38,No,Travel_Frequently,Research & Development,2,2,4,Male,3,Laboratory Technician,Married,1702,1,Yes,4,3,1,1,3,3,1,0,0,0
27,No,Travel_Frequently,Research & Development,2,3,4,Male,3,Research Scientist,Single,2580,2,No,3,3,0,6,0,2,4,2,1,2
26,No,Travel_Rarely,Research & Development,2,1,1,Male,2,Research Scientist,Single,3904,0,No,3,4,0,5,2,3,4,3,1,1
34,No,Travel_Rarely,Research & Development,7,4,1,Male,3,Research Scientist,Single,2972,1,No,3,3,0,1,4,1,1,0,0,0
23,No,Travel_Rarely,Research & Development,26,1,3,Male,3,Research Scientist,Divorced,2904,1,No,3,3,2,4,2,2,4,2,0,2
44,No,Travel_Frequently,Human Resources,1,5,1,Male,3,Human Resources,Married,5743,4,Yes,3,3,0,14,3,3,10,7,0,2
25,No,Travel_Rarely,Research & Development,19,1,4,Male,3,Laboratory Technician,Married,3669,3,No,3,3,3,7,6,2,3,2,1,2
37,No,Travel_Rarely,Research & Development,4,1,3,Male,3,Research Scientist,Married,2996,7,Yes,3,4,0,8,2,3,6,4,1,3
34,No,Travel_Rarely,Sales,9,1,2,Female,3,Sales Executive,Married,5714,1,No,4,1,0,6,3,2,6,5,1,3
